bugid,when,what,removed,added
1476966,2018-08-10 09:02:03 PDT,Resolution,---,FIXED
1476966,2018-08-10 09:02:03 PDT,Target Milestone,---,Firefox 63
1476966,2018-08-10 09:02:03 PDT,Closed,,2018/8/10 16:02
1476966,2018-08-10 09:02:03 PDT,status-firefox63,affected,fixed
1476966,2018-08-10 09:02:03 PDT,Comment 11 Tag,,bugherder
1476966,2018-08-10 11:54:40 PDT,Depends on,,1482478
1476966,2018-08-10 22:27:30 PDT,CC,,matthew
1476966,2018-08-13 05:14:37 PDT,Status,RESOLVED,VERIFIED
1476966,2018-08-13 05:14:37 PDT,status-firefox63,fixed,verified
1476970,2018-07-19 08:23:08 PDT,Blocks,Unnamed: 3,android-o
1476970,2018-07-19 10:43:38 PDT,Keywords,,regression
1476970,2018-07-19 10:43:38 PDT,CC,,jh+bugzilla
1476970,2018-07-19 10:43:38 PDT,Hardware,ARM,All
1476970,2018-07-19 13:16:01 PDT,Keywords,regression,
1476970,2018-07-20 01:16:55 PDT,Keywords,,regression
1476970,2018-07-20 01:16:55 PDT,Blocks,android-o,
1476970,2018-07-23 02:21:05 PDT,CC,,pascalc
1476970,2018-07-23 02:21:05 PDT,tracking-firefox63,?,+
1476970,2018-07-25 08:48:09 PDT,Priority,--,P2
1476970,2018-07-25 08:48:09 PDT,CC,,ntim.bugs
1476970,2018-07-25 08:48:09 PDT,Flags,,needinfo?(ntim.bugs)
1476970,2018-07-25 11:13:14 PDT,Assignee,nobody,ntim.bugs
1476970,2018-07-25 11:13:14 PDT,Flags,needinfo?(ntim.bugs),
1476970,2018-07-26 05:29:34 PDT,Attachment #8995161  Flags,,review?(nalexander)
1476970,2018-07-26 05:29:34 PDT,CC,,nalexander
1476970,2018-07-26 05:29:34 PDT,Comment 4 Tag,,mozreview-request
1476970,2018-07-26 09:49:51 PDT,Attachment #8995161  Flags,review?(nalexander),review+
1476970,2018-07-26 09:49:51 PDT,Comment 5 Tag,,mozreview-review
1476970,2018-07-26 16:14:53 PDT,Priority,P2,P5
1476970,2018-07-27 03:25:09 PDT,Status,NEW,RESOLVED
1476970,2018-07-27 03:25:09 PDT,Resolution,---,FIXED
1476970,2018-07-27 03:25:09 PDT,Target Milestone,---,Firefox 63
1476970,2018-07-27 03:25:09 PDT,Closed,,2018/7/27 10:25
1476970,2018-07-27 03:25:09 PDT,status-firefox63,affected,fixed
1476970,2018-07-27 03:25:09 PDT,Comment 8 Tag,,bugherder
1476970,2018-07-30 06:41:09 PDT,Status,RESOLVED,VERIFIED
1476970,2018-07-30 06:41:09 PDT,status-firefox63,fixed,verified
1476970,2018-07-30 06:59:04 PDT,Blocks,,1413144
1476970,2018-08-07 18:20:04 PDT,status-firefox61,---,unaffected
1476970,2018-08-07 18:20:04 PDT,status-firefox62,---,unaffected
1476970,2018-10-18 09:36:32 PDT,Priority,P5,P2
1476970,2018-10-18 09:36:32 PDT,CC,,sledru
1477700,2018-07-23 05:37:33 PDT,CC,Unnamed: 3,"andrei.a.lazar, jh+bugzilla"
1477700,2018-07-23 05:37:33 PDT,Hardware,ARM,All
1477700,2018-07-23 05:37:33 PDT,See Also,,1476966
1477700,2018-07-23 05:37:33 PDT,Blocks,,1450447
1477700,2018-07-23 05:37:33 PDT,Flags,,needinfo?(andrei.a.lazar)
1477700,2018-07-23 06:06:20 PDT,Assignee,nobody,andrei.a.lazar
1477700,2018-07-23 06:06:20 PDT,Flags,needinfo?(andrei.a.lazar),
1477700,2018-07-25 07:43:59 PDT,Attachment #8994854  Flags,,review?(sdaswani)
